Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   668 ??         0:00.08 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
  501   670 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   671 ??         0:13.72 /System/Cryptexes/App/usr/libexec/SafariBookmarksSyncAgent
  501   672 ??         0:00.97 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
  501   674 ??        10:26.55 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  501   676 ??        66:58.35 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
  501   677 ??         0:03.03 /System/Library/Frameworks/Translation.framework/translationd
  501   678 ??         0:07.99 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
  501   679 ??         0:00.92 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
  501   680 ??         0:03.06 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  501   681 ??         0:01.57 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
  501   682 ??         0:00.14 /usr/libexec/keychainsharingmessagingd
  501   683 ??         0:00.06 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
  501   685 ??         0:00.28 /System/Cryptexes/App/usr/libexec/webpushd --machServiceName com.apple.webkit.webpushd.service
  501   686 ??         0:00.02 /usr/libexec/spindump_agent
